date,state,death,death_confirmed,death_increase,death_probable,hospitalized,hospitalized_currently,hospitalized_increase,in_icu_cumulative,in_icu_currently,negative,negative_increase,negative_tests_antibody,Negative_Antibody_Tests_People,negative_tests_viral,on_ventilator_cumulative,on_ventilator_currently,positive,positive_cases_viral,positive_increase,Positive_Antibody_Test,Positive_Antigen_Test,Positive_Antibody_Test_People,positive_tests_people_antigen,positive_tests_viral,recovered,total_test_encounters_viral,total_test_encounters_viral_increase,total_test_results,total_test_results_increase,total_tests_antibody,total_tests_antigen,total_tests_people_antibody,total_tests_people_antigen,total_tests_people_viral,total_tests_people_viral_increase,total_tests_viral,total_tests_viral_increase
2021-02-01,CO,5641,4932,4,709.0,21844.0,611.0,11,0.0,0.0,2028478.0,16736,303256.0,0.0,0.0,0.0,0.0,397063.0,377401.0,884,45552.0,0.0,0.0,0.0,0.0,0.0,5467870.0,15820,5467870.0,15820,349865.0,0.0,0.0,0.0,2405879.0,5316,0.0,0
2021-01-31,CO,5637,4882,21,712.0,21833.0,652.0,21,0.0,0.0,2011742.0,0,301448.0,0.0,0.0,0.0,0.0,396179.0,374087.0,1163,45018.0,0.0,0.0,0.0,0.0,0.0,5452050.0,25991,5452050.0,25991,348808.0,0.0,0.0,0.0,2400563.0,6813,0.0,0
2021-01-30,CO,5616,4882,22,712.0,21812.0,652.0,68,0.0,0.0,2011742.0,0,299753.0,0.0,0.0,0.0,0.0,395016.0,374087.0,1595,44482.0,0.0,0.0,0.0,0.0,0.0,5426059.0,32325,5426059.0,32325,346466.0,0.0,0.0,0.0,2393750.0,7921,0.0,0
2021-01-29,CO,5594,4882,25,712.0,21744.0,652.0,31,0.0,0.0,2011742.0,8470,297809.0,0.0,0.0,0.0,0.0,393421.0,374087.0,1722,43995.0,0.0,0.0,0.0,0.0,0.0,5393734.0,50870,5393734.0,50870,344235.0,0.0,0.0,0.0,2385829.0,10053,0.0,0
2021-01-28,CO,5569,4858,17,711.0,21713.0,702.0,103,0.0,0.0,2003272.0,6241,296319.0,0.0,0.0,0.0,0.0,391699.0,372504.0,1441,43663.0,0.0,0.0,0.0,0.0,0.0,5342864.0,32548,5342864.0,32548,341804.0,0.0,0.0,0.0,2375776.0,7535,0.0,0
2021-01-27,CO,5552,4843,35,709.0,21610.0,724.0,48,0.0,0.0,1997031.0,5620,293625.0,0.0,0.0,0.0,0.0,390258.0,371210.0,1638,42930.0,0.0,0.0,0.0,0.0,0.0,5310316.0,30453,5310316.0,30453,339982.0,0.0,0.0,0.0,2368241.0,7050,0.0,0
2021-01-26,CO,5517,4809,5,708.0,21562.0,740.0,299,0.0,0.0,1991411.0,9007,292231.0,0.0,0.0,0.0,0.0,388620.0,369780.0,1158,42590.0,0.0,0.0,0.0,0.0,0.0,5279863.0,16390,5279863.0,16390,336555.0,0.0,0.0,0.0,2361191.0,5060,0.0,0
2021-01-25,CO,5512,4801,7,704.0,21263.0,737.0,26,0.0,0.0,1982404.0,0,290389.0,0.0,0.0,0.0,0.0,387462.0,367746.0,1177,42087.0,0.0,0.0,0.0,0.0,0.0,5263473.0,16562,5263473.0,16562,334821.0,0.0,0.0,0.0,2356131.0,5981,0.0,0
2021-01-24,CO,5505,4801,23,704.0,21237.0,737.0,18,0.0,0.0,1982404.0,5827,289585.0,0.0,0.0,0.0,0.0,386285.0,367746.0,1319,41877.0,0.0,0.0,0.0,0.0,0.0,5246911.0,25746,5246911.0,25746,332476.0,0.0,0.0,0.0,2350150.0,7053,0.0,0
2021-01-23,CO,5482,4778,20,704.0,21219.0,716.0,73,0.0,0.0,1976577.0,7182,286808.0,0.0,0.0,0.0,0.0,384966.0,366520.0,1958,41231.0,0.0,0.0,0.0,0.0,0.0,5221165.0,35757,5221165.0,35757,331462.0,0.0,0.0,0.0,2343097.0,8927,0.0,0
